TIMEDATE;Ask;Bid;Ask_1;Bid_1;Ask_2;Bid_2;Ask_3;Bid_3;Open;Close;High;Low;Volume
2021.08.05 09:59;1643.6;1640.2;1658.0;1656.8;1635.6;1633.8;1641.6;1639.8;1640.2;1686.4;1686.6;1640.2;13651.0
2021.08.06 09:59;1687.0;1686.4;1643.6;1640.2;1658.0;1656.8;1635.6;1633.8;1686.4;1667.6;1704.8;1664.8;21016.0
2021.08.09 09:59;1662.8;1660.0;1687.0;1686.4;1643.6;1640.2;1658.0;1656.8;1660.0;1670.0;1694.2;1655.6;21494.0
2021.08.10 09:59;1677.2;1675.0;1662.8;1660.0;1687.0;1686.4;1643.6;1640.2;1675.0;1712.8;1716.0;1673.8;21184.0
2021.08.11 09:59;1725.2;1720.0;1677.2;1675.0;1662.8;1660.0;1687.0;1686.4;1720.0;1706.0;1729.0;1695.4;18548.0
2021.08.12 09:59;1710.8;1709.0;1725.2;1720.0;1677.2;1675.0;1662.8;1660.0;1709.0;1732.8;1737.8;1706.2;16007.0
2021.08.13 09:59;1735.0;1733.6;1710.8;1709.0;1725.2;1720.0;1677.2;1675.0;1733.6;1729.8;1747.8;1714.6;13713.0
2021.08.16 09:59;1724.6;1722.8;1735.0;1733.6;1710.8;1709.0;1725.2;1720.0;1722.8;1773.4;1795.0;1718.0;30672.0
2021.08.17 09:59;1779.2;1778.6;1724.6;1722.8;1735.0;1733.6;1710.8;1709.0;1778.6;1798.2;1813.8;1761.4;27953.0
2021.08.18 09:59;1810.4;1809.2;1779.2;1778.6;1724.6;1722.8;1735.0;1733.6;1809.2;1781.2;1815.4;1770.0;20759.0
2021.08.19 09:59;1775.0;1773.0;1810.4;1809.2;1779.2;1778.6;1724.6;1722.8;1773.0;1763.6;1781.4;1727.6;31636.0
2021.08.20 09:59;1773.6;1773.0;1775.0;1773.0;1810.4;1809.2;1779.2;1778.6;1773.0;1733.0;1774.2;1705.6;17949.0
2021.08.23 09:59;1746.4;1745.0;1773.6;1773.0;1775.0;1773.0;1810.4;1809.2;1745.0;1754.6;1758.8;1733.2;14242.0
