TIMEDATE;Ask;Bid;Ask_1;Bid_1;Ask_2;Bid_2;Ask_3;Bid_3;Open;Close;High;Low;Volume
2021.08.05 09:59;542.55;542.5;551.65;551.5;547.85;547.7;545.05;545.0;542.5;548.0;548.7;538.15;18957.0
2021.08.06 09:59;549.15;548.95;542.55;542.5;551.65;551.5;547.85;547.7;548.95;544.9;552.4;544.05;15743.0
2021.08.09 09:59;539.65;539.6;549.15;548.95;542.55;542.5;551.65;551.5;539.6;545.0;548.0;535.25;22631.0
2021.08.10 09:59;547.6;547.5;539.65;539.6;549.15;548.95;542.55;542.5;547.5;562.55;564.1;547.0;25517.0
2021.08.11 09:59;564.05;564.0;547.6;547.5;539.65;539.6;549.15;548.95;564.0;561.8;568.4;558.85;20423.0
2021.08.12 09:59;561.9;561.45;564.05;564.0;547.6;547.5;539.65;539.6;561.45;565.9;567.85;557.2;20705.0
2021.08.13 09:59;565.8;565.4;561.9;561.45;564.05;564.0;547.6;547.5;565.4;558.55;568.7;555.0;22684.0
2021.08.16 09:59;556.9;556.75;565.8;565.4;561.9;561.45;564.05;564.0;556.75;564.4;567.65;551.5;36681.0
2021.08.17 09:59;563.05;562.95;556.9;556.75;565.8;565.4;561.9;561.45;562.95;555.0;563.0;552.9;28772.0
2021.08.18 09:59;557.9;557.8;563.05;562.95;556.9;556.75;565.8;565.4;557.8;546.95;559.9;542.25;21000.0
2021.08.19 09:59;544.05;544.0;557.9;557.8;563.05;562.95;556.9;556.75;544.0;537.8;547.75;531.45;39645.0
2021.08.20 09:59;537.7;537.5;544.05;544.0;557.9;557.8;563.05;562.95;537.5;534.0;538.35;530.1;15532.0
2021.08.23 09:59;538.15;538.0;537.7;537.5;544.05;544.0;557.9;557.8;538.0;544.85;545.45;536.1;13720.0
