TIMEDATE;Ask;Bid;Ask_1;Bid_1;Ask_2;Bid_2;Ask_3;Bid_3;Open;Close;High;Low;Volume
2021.08.05 09:59;422.6;422.4;426.1;426.0;424.8;424.45;427.45;427.4;422.4;421.65;424.3;420.1;3204.0
2021.08.06 09:59;422.65;422.0;422.6;422.4;426.1;426.0;424.8;424.45;422.0;427.4;427.9;420.0;5923.0
2021.08.09 09:59;424.2;423.1;422.65;422.0;422.6;422.4;426.1;426.0;423.1;421.15;426.5;421.0;4851.0
2021.08.10 09:59;434.1;434.05;424.2;423.1;422.65;422.0;422.6;422.4;434.05;425.7;434.05;422.8;11092.0
2021.08.11 09:59;429.5;428.45;434.1;434.05;424.2;423.1;422.65;422.0;428.45;429.8;430.0;425.2;3154.0
2021.08.12 09:59;432.1;431.9;429.5;428.45;434.1;434.05;424.2;423.1;431.9;429.55;433.0;427.65;4023.0
2021.08.13 09:59;432.3;430.75;432.1;431.9;429.5;428.45;434.1;434.05;430.75;426.65;431.15;423.3;2802.0
2021.08.16 09:59;421.9;421.55;432.3;430.75;432.1;431.9;429.5;428.45;421.55;428.8;428.9;421.15;3695.0
2021.08.17 09:59;425.6;425.05;421.9;421.55;432.3;430.75;432.1;431.9;425.05;426.5;429.7;424.8;6792.0
2021.08.18 09:59;430.05;429.8;425.6;425.05;421.9;421.55;432.3;430.75;429.8;427.2;429.8;425.95;1959.0
2021.08.19 09:59;425.1;424.95;430.05;429.8;425.6;425.05;421.9;421.55;424.95;415.8;425.3;415.8;7362.0
2021.08.20 09:59;419.6;418.0;425.1;424.95;430.05;429.8;425.6;425.05;418.0;417.8;419.65;416.0;3836.0
2021.08.23 09:59;419.9;419.85;419.6;418.0;425.1;424.95;430.05;429.8;419.85;425.5;427.2;419.5;4505.0
