TIMEDATE;Ask;Bid;Ask_1;Bid_1;Ask_2;Bid_2;Ask_3;Bid_3;Open;Close;High;Low;Volume
2021.08.05 09:59;37.87;37.83;37.92;37.82;38.05;38.04;38.28;38.24;37.83;37.6;37.83;37.46;21085.0
2021.08.06 09:59;37.61;37.6;37.87;37.83;37.92;37.82;38.05;38.04;37.6;37.48;37.68;37.25;18206.0
2021.08.09 09:59;37.51;37.5;37.61;37.6;37.87;37.83;37.92;37.82;37.5;37.82;37.9;37.45;17091.0
2021.08.10 09:59;37.91;37.9;37.51;37.5;37.61;37.6;37.87;37.83;37.9;37.74;37.9;37.56;13424.0
2021.08.11 09:59;37.76;37.75;37.91;37.9;37.51;37.5;37.61;37.6;37.75;37.98;38.03;37.61;17422.0
2021.08.12 09:59;38.01;38.0;37.76;37.75;37.91;37.9;37.51;37.5;38.0;38.16;38.26;37.9;16189.0
2021.08.13 09:59;38.35;38.25;38.01;38.0;37.76;37.75;37.91;37.9;38.25;37.96;38.25;37.75;11139.0
2021.08.16 09:59;37.97;37.96;38.35;38.25;38.01;38.0;37.76;37.75;37.96;37.83;37.96;37.62;11797.0
2021.08.17 09:59;37.8;37.72;37.97;37.96;38.35;38.25;38.01;38.0;37.72;37.82;37.92;37.7;12524.0
2021.08.18 09:59;37.93;37.88;37.8;37.72;37.97;37.96;38.35;38.25;37.88;37.86;38.15;37.77;13787.0
2021.08.19 09:59;37.89;37.81;37.93;37.88;37.8;37.72;37.97;37.96;37.81;38.09;38.15;37.78;12715.0
2021.08.20 09:59;38.14;38.11;37.89;37.81;37.93;37.88;37.8;37.72;38.11;38.57;38.67;38.02;19243.0
2021.08.23 09:59;38.55;38.51;38.14;38.11;37.89;37.81;37.93;37.88;38.51;38.9;38.93;38.51;14369.0
