TIMEDATE;Ask;Bid;Ask_1;Bid_1;Ask_2;Bid_2;Ask_3;Bid_3;Open;Close;High;Low;Volume
2021.08.05 09:59;6218.0;6215.0;6312.0;6310.0;6303.0;6302.0;6312.0;6308.5;6215.0;6312.0;6312.0;6211.5;18638.0
2021.08.06 09:59;6319.5;6319.0;6218.0;6215.0;6312.0;6310.0;6303.0;6302.0;6319.0;6236.0;6328.5;6227.0;20433.0
2021.08.09 09:59;6198.5;6198.0;6319.5;6319.0;6218.0;6215.0;6312.0;6310.0;6198.0;6290.0;6310.0;6110.5;26548.0
2021.08.10 09:59;6325.0;6324.5;6198.5;6198.0;6319.5;6319.0;6218.0;6215.0;6324.5;6423.5;6427.5;6322.0;28490.0
2021.08.11 09:59;6439.0;6438.0;6325.0;6324.5;6198.5;6198.0;6319.5;6319.0;6438.0;6450.0;6487.5;6400.0;26690.0
2021.08.12 09:59;6450.5;6450.0;6439.0;6438.0;6325.0;6324.5;6198.5;6198.0;6450.0;6504.5;6530.0;6431.5;21179.0
2021.08.13 09:59;6492.0;6490.0;6450.5;6450.0;6439.0;6438.0;6325.0;6324.5;6490.0;6429.5;6512.0;6406.0;18064.0
2021.08.16 09:59;6400.5;6400.0;6492.0;6490.0;6450.5;6450.0;6439.0;6438.0;6400.0;6495.5;6503.0;6369.5;18757.0
2021.08.17 09:59;6476.0;6475.0;6400.5;6400.0;6492.0;6490.0;6450.5;6450.0;6475.0;6567.5;6615.0;6441.5;30070.0
2021.08.18 09:59;6609.5;6605.0;6476.0;6475.0;6400.5;6400.0;6492.0;6490.0;6605.0;6445.0;6615.0;6444.5;26187.0
2021.08.19 09:59;6404.0;6401.0;6609.5;6605.0;6476.0;6475.0;6400.5;6400.0;6401.0;6332.0;6424.5;6255.0;37580.0
2021.08.20 09:59;6317.0;6315.0;6404.0;6401.0;6609.5;6605.0;6476.0;6475.0;6315.0;6339.5;6348.0;6262.5;17517.0
2021.08.23 09:59;6405.0;6394.0;6317.0;6315.0;6404.0;6401.0;6609.5;6605.0;6394.0;6475.5;6489.0;6371.0;21187.0
2021.08.24 09:59;6500.5;6500.0;6405.0;6394.0;6317.0;6315.0;6404.0;6401.0;6500.0;6488.0;6521.5;6408.0;18449.0
