TIMEDATE;Open;Close;High;Low;Volume
2021.08.13 00:01;38.25;37.96;38.25;37.75;11139
2021.08.16 00:01;37.96;37.825;37.96;37.62;11797
2021.08.17 00:01;37.72;37.82;37.915;37.7;12524
2021.08.18 00:01;37.875;37.855;38.15;37.765;13787
2021.08.19 00:01;37.81;38.085;38.15;37.78;12715
2021.08.20 00:01;38.11;38.57;38.665;38.02;19243
2021.08.23 00:01;38.505;38.9;38.93;38.505;14369
2021.08.24 00:01;38.925;38.815;39.115;38.65;10260
2021.08.25 00:01;38.8;38.39;38.845;38.17;13897
2021.08.26 00:01;38.39;38.39;38.605;38.265;7548
2021.08.27 00:01;38.39;38.445;38.51;38.215;7430
2021.08.30 00:01;38.525;38.495;38.875;38.335;9931
2021.08.31 00:01;38.52;38.755;38.9;38.505;1272
